"統計期","平均氣溫[0C]","平均相對溼度[%]","日照時數[小時]","降水量[毫米]","降水日數[日]"
"57年",21.8,81,1695.1,2020.8,155
"58年",21.8,83,1563.3,2550.5,181
"59年",22.1,83,1506.9,2436.3,214
"60年",22.1,80,1707.2,1462.9,166
"61年",22.1,81,1581.9,2422.5,157
"62年",22.5,81,1463.3,1794.8,184
"63年",22.2,81,1476.2,2366.8,192
"64年",22.3,79,1459.7,2409.9,188
"65年",22.1,75,1561.7,1620.3,144
"66年",23.0,76,1679.5,2486.7,153
"67年",22.4,77,1479.8,2018.8,170
"68年",22.2,78,1547.6,2333.6,163
"69年",22.5,77,1463.6,2161.6,160
"70年",22.4,78,1415.4,2289.9,151
"71年",22.4,79,1476.3,2046.9,160
"72年",22.7,80,1356.3,2252.0,183
"73年",22.0,82,1252.8,2711.3,213
"74年",23.2,82,1291.7,2487.9,184
"75年",22.4,77,1424.7,2605.6,164
"76年",23.0,77,1387.4,2219.1,153
"77年",23.1,77,1310.7,2816.6,170
"78年",23.1,78,1352.9,2268.6,164
"79年",23.5,74,1387.3,2913.0,159
"80年",23.5,73,1342.5,2215.9,157
"81年",22.3,77,1311.4,2391.9,184
"82年",22.7,76,1463.0,1740.5,165
"83年",23.2,75,1451.7,2043.7,150
"84年",22.3,74,1365.2,1716.7,157
"85年",22.5,75,1559.4,2253.1,169
"86年",22.5,78,1361.6,2595.0,157
"87年",23.6,78,1186.7,4404.7,201
"88年",23.0,77,1139.1,1958.1,163
"89年",23.2,78,983.1,2744.0,174
"90年",23.3,77,1496.6,2862.1,174
"91年",23.8,76,1623.8,1346.4,136
"92年",23.5,76,1657.5,1192.5,127
"93年",23.1,75,1614.3,2829.8,155
"94年",23.3,76,1396.7,3027.8,172
"95年",23.8,76,1381.9,2288.4,167
"96年",23.6,76,1413.0,3015.9,169
"97年",23.2,75,1605.4,2969.2,168
"98年",23.4,74,1631.8,1669.2,152
"99年",23.3,76,1506.6,2278.3,168
"100年",22.7,76,1251.6,1758.6,180
"101年",23.2,75,1257.0,2910.3,179
"102年",23.4,70,1261.4,2541.4,158
"103年",23.5,72,1332.0,2147.3,140
"104年",23.8,75,1306.3,2519.2,148
"105年",24.0,74,1283.3,2431.7,188
"106年",23.9,71,1237.1,2339.7,173
"107年",23.9,71,1401.1,1621.0,157
"108年",24.1,76,1301.2,2369.6,155
"109年",24.2,74,1352.5,1702.8,155
"110年",24.1,76,1692.4,1908.5,116
"111年",23.5,78,1347.8,2656.5,165
"112年",23.9,77,1643.4,1787.5,126

